Contrast	Geneid	log2FoldChange	padj	DEG
254399	Cell2 - Cond1 vs Cond3	Gm24469	NA	NA	NS
438920	Cell2 - Cond2 vs Cond4	Gm21060	0.02	NA	NS
409231	Cell2 - Cond2 vs Cond4	Gm12919	0.02	NA	NS
97478	Cell1 - Cond1 vs Cond3	Gm32526	0.05	NA	NS
469291	Cell2 - Cond4 vs Cond3	Gm45003	0	NA	NS
81159	Cell1 - Cond1 vs Cond3	Gm28434	NA	NA	NS
100312	Cell1 - Cond1 vs Cond3	Trav20	NA	NA	NS
144224	Cell1 - Cond2 vs Cond3	Gm6100	NA	NA	NS
260569	Cell2 - Cond1 vs Cond3	Nlrp1a	-0.02	NA	NS
403340	Cell2 - Cond2 vs Cond4	2900009J06Rik	0.19	NA	NS
16764	Cell1 - Cond1 vs Cond2	Sh3d2c-ps1	0	NA	NS
218533	Cell2 - Cond1 vs Cond2	Gm15065	0.01	NA	NS
219825	Cell2 - Cond1 vs Cond2	Gm21693	NA	NA	NS
107536	Cell1 - Cond1 vs Cond3	A630012P03Rik	0.04	NA	NS
340678	Cell2 - Cond2 vs Cond3	Gm13868	0.28	0.322231935779773	NS
105563	Cell1 - Cond1 vs Cond3	AC148019.1	0.04	NA	NS
275333	Cell2 - Cond1 vs Cond3	Gm28506	NA	NA	NS
139210	Cell1 - Cond2 vs Cond3	Mir705	NA	NA	NS
463211	Cell2 - Cond4 vs Cond3	Gm43353	0	NA	NS
38678	Cell1 - Cond1 vs Cond2	Foxn1	-0.01	NA	NS
355117	Cell2 - Cond2 vs Cond3	Gm12415	-0.03	NA	NS
114801	Cell1 - Cond2 vs Cond3	Ddx5	-0.35	0.0158571862143951	NS
48308	Cell1 - Cond1 vs Cond2	AC154766.2	-0.01	NA	NS
338011	Cell2 - Cond2 vs Cond3	Cab39	-0.31	0.122375973839365	NS
287966	Cell2 - Cond1 vs Cond4	Vat1	0.14	0.596569501968829	NS
209462	Cell2 - Cond1 vs Cond2	4930527F14Rik	0	NA	NS
333432	Cell2 - Cond2 vs Cond3	Rdh16f2	-5.11	0.00057065140711835	Downregulated
410153	Cell2 - Cond2 vs Cond4	Gm24203	NA	NA	NS
210540	Cell2 - Cond1 vs Cond2	Gm27034	0	NA	NS
48974	Cell1 - Cond1 vs Cond2	Adgrf5	-0.1	NA	NS
388710	Cell2 - Cond2 vs Cond4	Hsd17b7	-0.75	0.00293997651404031	NS
491236	Cell2 - Cond4 vs Cond3	Gtf2f1	-0.02	NA	NS
179129	Cell2 - Cond1 vs Cond2	Gm38079	0.01	NA	NS
50378	Cell1 - Cond1 vs Cond2	AC121263.1	0	NA	NS
186636	Cell2 - Cond1 vs Cond2	Gm13130	-0.01	NA	NS
123923	Cell1 - Cond2 vs Cond3	Atp5c1-ps	0.17	0.682658571640514	NS
54632	Cell1 - Cond1 vs Cond2	Gm21899	NA	NA	NS
279565	Cell2 - Cond1 vs Cond4	Pign	0.67	0.0130520160707204	NS
166918	Cell2 - Cond1 vs Cond2	AC133523.4	-0.86	0.0930754946412997	NS
354254	Cell2 - Cond2 vs Cond3	Scp2-ps1	0.01	NA	NS
447832	Cell2 - Cond4 vs Cond3	Nipal1	-0.08	0.921594735521187	NS
464015	Cell2 - Cond4 vs Cond3	1700013A02Rik	0	NA	NS
11018	Cell1 - Cond1 vs Cond2	Mfsd10	0.08	0.802623094397885	NS
418592	Cell2 - Cond2 vs Cond4	Ubqlnl	0.01	NA	NS
285849	Cell2 - Cond1 vs Cond4	Htt	0.2	0.384890318848914	NS
198961	Cell2 - Cond1 vs Cond2	Gm47262	-0.01	NA	NS
314968	Cell2 - Cond1 vs Cond4	Mir1933	-0.05	NA	NS
430763	Cell2 - Cond2 vs Cond4	Gm15323	NA	NA	NS
377453	Cell2 - Cond2 vs Cond3	Gm48922	NA	NA	NS
31929	Cell1 - Cond1 vs Cond2	Gm29175	0	NA	NS
357112	Cell2 - Cond2 vs Cond3	Gm22929	NA	NA	NS
310722	Cell2 - Cond1 vs Cond4	Fam92b	0.02	NA	NS
179315	Cell2 - Cond1 vs Cond2	Gm13185	-0.01	NA	NS
300387	Cell2 - Cond1 vs Cond4	Olfr1339	0	NA	NS
498032	Cell2 - Cond4 vs Cond3	Gm21742	NA	NA	NS
91010	Cell1 - Cond1 vs Cond3	Gm20648	-0.05	NA	NS
145568	Cell1 - Cond2 vs Cond3	Gm45814	NA	NA	NS
192722	Cell2 - Cond1 vs Cond2	Gm18049	NA	NA	NS
279531	Cell2 - Cond1 vs Cond4	Gm43201	1.23	0.01257164544378	Upregulated
365716	Cell2 - Cond2 vs Cond3	Drc7	0.01	NA	NS
405806	Cell2 - Cond2 vs Cond4	Mir7000	NA	NA	NS
292285	Cell2 - Cond1 vs Cond4	Gm4785	-0.01	NA	NS
25625	Cell1 - Cond1 vs Cond2	Gm36241	-0.02	NA	NS
456897	Cell2 - Cond4 vs Cond3	Slc25a31	0	NA	NS
91912	Cell1 - Cond1 vs Cond3	Gm48483	-0.01	NA	NS
275710	Cell2 - Cond1 vs Cond3	Gm21599	NA	NA	NS
165035	Cell1 - Cond2 vs Cond3	Gm28519	NA	NA	NS
201504	Cell2 - Cond1 vs Cond2	4930534H03Rik	0.01	NA	NS
228449	Cell2 - Cond1 vs Cond3	Coch	0.96	0.116563967119476	NS
192546	Cell2 - Cond1 vs Cond2	Obox5	0	NA	NS
187471	Cell2 - Cond1 vs Cond2	Gm24878	0.01	NA	NS
441945	Cell2 - Cond2 vs Cond4	Gm29098	NA	NA	NS
132806	Cell1 - Cond2 vs Cond3	Gm25167	0.02	NA	NS
242475	Cell2 - Cond1 vs Cond3	Mir21b	NA	NA	NS
465983	Cell2 - Cond4 vs Cond3	Gm5578	0	NA	NS
93568	Cell1 - Cond1 vs Cond3	Olfr801	-0.02	NA	NS
309488	Cell2 - Cond1 vs Cond4	Defa25	0.06	NA	NS
391394	Cell2 - Cond2 vs Cond4	Adipor2	-0.33	0.0842823249242425	NS
194471	Cell2 - Cond1 vs Cond2	Gm44723	-0.01	NA	NS
52809	Cell1 - Cond1 vs Cond2	Arr3	-0.02	NA	NS
487598	Cell2 - Cond4 vs Cond3	Gm7908	-0.01	NA	NS
298842	Cell2 - Cond1 vs Cond4	Gm5281	0.05	NA	NS
451047	Cell2 - Cond4 vs Cond3	Gm29389	0	NA	NS
207442	Cell2 - Cond1 vs Cond2	Gm23482	0	NA	NS
219469	Cell2 - Cond1 vs Cond2	Gm15113	NA	NA	NS
361478	Cell2 - Cond2 vs Cond3	Gm44655	0.03	NA	NS
249670	Cell2 - Cond1 vs Cond3	n-R5s164	NA	NA	NS
352317	Cell2 - Cond2 vs Cond3	Gm10745	0.04	NA	NS
30517	Cell1 - Cond1 vs Cond2	Gm18360	-0.01	NA	NS
147782	Cell1 - Cond2 vs Cond3	Ccn6	0.18	NA	NS
385353	Cell2 - Cond2 vs Cond3	Kir3dl1	0.04	NA	NS
481856	Cell2 - Cond4 vs Cond3	Gm22234	NA	NA	NS
225319	Cell2 - Cond1 vs Cond3	Narfl	-0.77	0.0137951383867185	NS
429675	Cell2 - Cond2 vs Cond4	Gm47751	0.02	NA	NS
279774	Cell2 - Cond1 vs Cond4	Hcn3	-1.72	0.0167720294274662	Downregulated
271606	Cell2 - Cond1 vs Cond3	Gm38337	0.07	NA	NS
251337	Cell2 - Cond1 vs Cond3	Gm4133	NA	NA	NS
121838	Cell1 - Cond2 vs Cond3	Zfp950	-0.18	0.475668244516508	NS
219859	Cell2 - Cond1 vs Cond2	Gm29349	NA	NA	NS
299154	Cell2 - Cond1 vs Cond4	Gm23860	NA	NA	NS
81285	Cell1 - Cond1 vs Cond3	Gm3259	NA	NA	NS
375084	Cell2 - Cond2 vs Cond3	Gm7896	-0.03	NA	NS
384930	Cell2 - Cond2 vs Cond3	Gm24509	NA	NA	NS
171515	Cell2 - Cond1 vs Cond2	Cbfb	0.12	0.883250292983636	NS
209294	Cell2 - Cond1 vs Cond2	Gm7995	-0.01	NA	NS
229767	Cell2 - Cond1 vs Cond3	Reg3b	-0.33	0.210881582547057	NS
6477	Cell1 - Cond1 vs Cond2	Vav1	-0.24	0.445545240739689	NS
417675	Cell2 - Cond2 vs Cond4	Gm24585	NA	NA	NS
337641	Cell2 - Cond2 vs Cond3	Gm16215	0.91	0.102487058794767	NS
371215	Cell2 - Cond2 vs Cond3	AA465934	0	NA	NS
432920	Cell2 - Cond2 vs Cond4	Gm49259	-0.01	NA	NS
209117	Cell2 - Cond1 vs Cond2	Gm49196	0.01	NA	NS
352934	Cell2 - Cond2 vs Cond3	Gm37009	0.12	NA	NS
200991	Cell2 - Cond1 vs Cond2	Tmem26	-0.02	NA	NS
42432	Cell1 - Cond1 vs Cond2	4930526F13Rik	0.01	NA	NS
275697	Cell2 - Cond1 vs Cond3	Gm21723	NA	NA	NS
168071	Cell2 - Cond1 vs Cond2	Rasal1	-0.11	0.463342099525516	NS
465368	Cell2 - Cond4 vs Cond3	Gm44769	0	NA	NS
102377	Cell1 - Cond1 vs Cond3	Mir148b	NA	NA	NS
326604	Cell2 - Cond1 vs Cond4	AC122271.1	-0.01	NA	NS
188590	Cell2 - Cond1 vs Cond2	Crybb3	-0.01	NA	NS
227755	Cell2 - Cond1 vs Cond3	Gm3617	1.52	0.0826433634036735	NS
184908	Cell2 - Cond1 vs Cond2	Gm11924	0.01	NA	NS
209364	Cell2 - Cond1 vs Cond2	Gm16506	NA	NA	NS
462996	Cell2 - Cond4 vs Cond3	Gbp4	-0.01	NA	NS
157602	Cell1 - Cond2 vs Cond3	Gm18685	0.03	NA	NS
470515	Cell2 - Cond4 vs Cond3	Gm44735	0	NA	NS
250972	Cell2 - Cond1 vs Cond3	Zscan4f	NA	NA	NS
485028	Cell2 - Cond4 vs Cond3	9930004E17Rik	0	NA	NS
63443	Cell1 - Cond1 vs Cond3	Gm49602	0.64	0.207413514484798	NS
337035	Cell2 - Cond2 vs Cond3	Thumpd2	-0.69	0.0713529938396627	NS
491965	Cell2 - Cond4 vs Cond3	Gm23674	NA	NA	NS
378738	Cell2 - Cond2 vs Cond3	Gm24643	NA	NA	NS
394744	Cell2 - Cond2 vs Cond4	Gm37486	-0.41	0.319695085488443	NS
406875	Cell2 - Cond2 vs Cond4	Fam209	-0.04	NA	NS
406430	Cell2 - Cond2 vs Cond4	Gm25516	NA	NA	NS
35318	Cell1 - Cond1 vs Cond2	Gm7628	0.04	NA	NS
265544	Cell2 - Cond1 vs Cond3	Gm26372	0.07	NA	NS
14100	Cell1 - Cond1 vs Cond2	Gm9443	-0.04	NA	NS
86581	Cell1 - Cond1 vs Cond3	Gm18988	0.03	NA	NS
484745	Cell2 - Cond4 vs Cond3	Pdhb	-0.05	NA	NS
21868	Cell1 - Cond1 vs Cond2	Gm12520	0	NA	NS
492846	Cell2 - Cond4 vs Cond3	AC116489.1	0	NA	NS
241196	Cell2 - Cond1 vs Cond3	Slc5a12	-0.1	NA	NS
131504	Cell1 - Cond2 vs Cond3	Gm20412	NA	NA	NS
238079	Cell2 - Cond1 vs Cond3	Gm29358	NA	NA	NS
144204	Cell1 - Cond2 vs Cond3	Nrg1	0.08	NA	NS
265921	Cell2 - Cond1 vs Cond3	Gm8161	NA	NA	NS
316914	Cell2 - Cond1 vs Cond4	Gm22908	NA	NA	NS
50323	Cell1 - Cond1 vs Cond2	Gm25150	0.01	NA	NS
267517	Cell2 - Cond1 vs Cond3	Gm6704	NA	NA	NS
334674	Cell2 - Cond2 vs Cond3	Cnst	-0.93	0.00865140581477194	NS
490751	Cell2 - Cond4 vs Cond3	Gm20530	0	NA	NS
