"seqnames"	"start"	"end"	"annotation"	"SYMBOL"	"distanceToTSS"	"condition"
"1"	"chr1"	4432425	4432816	"Distal Intergenic"	"Rp1"	-23184	"bCAT_APC"
"2"	"chr1"	4538324	4538641	"Distal Intergenic"	"Sox17"	-40970	"bCAT_APC"
"3"	"chr1"	4598454	4598854	"Distal Intergenic"	"Sox17"	-101100	"bCAT_APC"
"4"	"chr1"	4785424	4785766	"Promoter"	"Mrpl15"	0	"bCAT_APC"
"5"	"chr1"	7498794	7499773	"Distal Intergenic"	"Pcmtd1"	338709	"bCAT_APC"
"6"	"chr1"	7501728	7502793	"Distal Intergenic"	"Pcmtd1"	341643	"bCAT_APC"
"7"	"chr1"	9780279	9780643	"Intron"	"Sgk3"	-17487	"bCAT_APC"
"8"	"chr1"	9943772	9944077	"Promoter"	"Snhg6"	41	"bCAT_APC"
"9"	"chr1"	10124029	10124410	"Intron"	"Arfgef1"	35650	"bCAT_APC"
"10"	"chr1"	13308986	13309301	"Intron"	"Ncoa2"	63128	"bCAT_APC"
"11"	"chr1"	15908509	15909108	"Distal Intergenic"	"Sbspon"	-15787	"bCAT_APC"
"12"	"chr1"	15936857	15937107	"Distal Intergenic"	"Sbspon"	-44135	"bCAT_APC"
"13"	"chr1"	16199020	16199765	"Distal Intergenic"	"Rdh10"	93138	"bCAT_APC"
"14"	"chr1"	16234944	16235338	"Intron"	"Rdh10"	129062	"bCAT_APC"
"15"	"chr1"	21672645	21672887	"Intron"	"Khdc1b"	289089	"bCAT_APC"
"16"	"chr1"	24107617	24108448	"Distal Intergenic"	"Fam135a"	-7276	"bCAT_APC"
"17"	"chr1"	30885351	30885898	"Distal Intergenic"	"Phf3"	-11479	"bCAT_APC"
"18"	"chr1"	31094892	31095225	"Distal Intergenic"	"Lgsn"	-81210	"bCAT_APC"
"19"	"chr1"	38130030	38130390	"Promoter"	"Rev1"	-368	"bCAT_APC"
"20"	"chr1"	38363565	38363818	"Intron"	"Rev1"	-233903	"bCAT_APC"
"21"	"chr1"	39241213	39241504	"Intron"	"Npas2"	46941	"bCAT_APC"
"22"	"chr1"	39331381	39331727	"Intron"	"Rpl31"	-36124	"bCAT_APC"
"23"	"chr1"	39813087	39813496	"Distal Intergenic"	"Gm3646"	-7755	"bCAT_APC"
"24"	"chr1"	41389572	41389811	"Distal Intergenic"	"4930448I06Rik"	-208320	"bCAT_APC"
"25"	"chr1"	43173411	43174345	"Intron"	"Fhl2"	-9450	"bCAT_APC"
"26"	"chr1"	43399261	43399559	"Distal Intergenic"	"Nck2"	-46192	"bCAT_APC"
"27"	"chr1"	46003276	46004081	"Distal Intergenic"	"Stk-ps2"	26356	"bCAT_APC"
"28"	"chr1"	52251381	52251761	"Distal Intergenic"	"Gls"	-18149	"bCAT_APC"
"29"	"chr1"	53845854	53846296	"Intron"	"Mir7681"	-3128	"bCAT_APC"
"30"	"chr1"	54557717	54558733	"Promoter"	"Pgap1"	-33	"bCAT_APC"
"31"	"chr1"	56926536	56926924	"Intron"	"Satb2"	44410	"bCAT_APC"
"32"	"chr1"	58742470	58742805	"Intron"	"Cflar"	11918	"bCAT_APC"
"33"	"chr1"	59162885	59163141	"Promoter"	"Mpp4"	248	"bCAT_APC"
"34"	"chr1"	60882872	60883071	"Distal Intergenic"	"Ctla4"	-25954	"bCAT_APC"
"35"	"chr1"	62697121	62697340	"Distal Intergenic"	"Nrp2"	-5977	"bCAT_APC"
"36"	"chr1"	66862373	66863030	"Promoter"	"Acadl"	279	"bCAT_APC"
"37"	"chr1"	71856811	71857076	"Distal Intergenic"	"Gm8883"	-31036	"bCAT_APC"
"38"	"chr1"	72099389	72099713	"Distal Intergenic"	"4933417E11Rik"	-94194	"bCAT_APC"
"39"	"chr1"	74434499	74435021	"3' UTR"	"Vil1"	25115	"bCAT_APC"
"40"	"chr1"	74587491	74588273	"Promoter"	"Zfp142"	0	"bCAT_APC"
"41"	"chr1"	74661691	74661951	"Promoter"	"Ttll4"	0	"bCAT_APC"
"42"	"chr1"	74770719	74771471	"Promoter"	"Wnt6"	-421	"bCAT_APC"
"43"	"chr1"	74816680	74817339	"Exon"	"Wnt10a"	24661	"bCAT_APC"
"44"	"chr1"	74971416	74972686	"Intron"	"Ihh"	-19744	"bCAT_APC"
"45"	"chr1"	75142245	75142587	"Promoter"	"Cnppd1"	0	"bCAT_APC"
"46"	"chr1"	77206760	77207230	"Distal Intergenic"	"Mir6352"	289538	"bCAT_APC"
"47"	"chr1"	77279524	77279771	"Distal Intergenic"	"Mir6352"	216997	"bCAT_APC"
"48"	"chr1"	77469200	77469781	"Intron"	"Mir6352"	26987	"bCAT_APC"
"49"	"chr1"	81670932	81671227	"Distal Intergenic"	"Mir6344"	-460689	"bCAT_APC"
"50"	"chr1"	82124655	82125118	"Distal Intergenic"	"Mir6344"	-6798	"bCAT_APC"
"51"	"chr1"	82247427	82247802	"Intron"	"Irs1"	43637	"bCAT_APC"
"52"	"chr1"	82428996	82429483	"Intron"	"Rhbdd1"	89947	"bCAT_APC"
"53"	"chr1"	82785278	82785549	"Distal Intergenic"	"Tm4sf20"	-16822	"bCAT_APC"
